,Name,Type,County,Population,Land Area miles2,Address,Indicator,Latitude,Longitude
0,Adelanto,City,San Bernardino,31765,56.01,"Adelanto, California",0.0,34.5827699,-117.409215
3,Albany,City,Alameda,18539,1.79,"Albany, California",0.0,37.88687,-122.2977475
4,Alhambra,City,Los Angeles,83089,7.63,"Alhambra, California",0.0,34.093042,-118.12706
6,Alturas,City,Modoc,2827,2.43,"Alturas, California",0.0,41.487123,-120.5423271
7,Amador City,City,Amador,185,0.31,"Amador City, California",0.0,38.4193553,-120.824103
8,American Canyon,City,Napa,19454,4.84,"American Canyon, California",0.0,38.223457,-122.22704307123536
9,Anaheim,City,Orange,336265,49.84,"Anaheim, California",0.0,33.8347516,-117.911732
10,Anderson,City,Shasta,9932,6.37,"Anderson, California",0.0,40.448208,-122.2977815
11,Angels Camp,City,Calaveras,3836,3.63,"Angels Camp, California",0.0,38.0695732,-120.5405039
12,Antioch,City,Contra Costa,102372,28.35,"Antioch, California",0.0,38.0049214,-121.805789
13,Apple Valley,Town,San Bernardino,69135,73.19,"Apple Valley, California",0.0,34.5008311,-117.1858759
14,Arcadia,City,Los Angeles,56364,10.93,"Arcadia, California",0.0,34.1362075,-118.0401497
15,Arcata,City,Humboldt,17231,9.1,"Arcata, California",0.0,40.866517,-124.08284
17,Artesia,City,Los Angeles,16522,1.62,"Artesia, California",0.0,33.8690197,-118.0796195
18,Arvin,City,Kern,19304,4.82,"Arvin, California",0.0,35.209129,-118.828431
19,Atascadero,City,San Luis Obispo,28310,25.64,"Atascadero, California",0.0,35.4894169,-120.6707255
20,Atherton,Town,San Mateo,6914,5.02,"Atherton, California",0.0,37.4613272,-122.197743
21,Atwater,City,Merced,28168,6.09,"Atwater, California",0.0,37.3477174,-120.609084
22,Auburn,City,Placer,13330,7.14,"Auburn, California",0.0,38.8945939,-121.0739897
23,Avalon,City,Los Angeles,3728,2.94,"Avalon, California",0.0,33.34221,-118.3272612
24,Avenal,City,Kings,15505,19.42,"Avenal, California",0.0,36.0041223,-120.1290272
25,Azusa,City,Los Angeles,46361,9.66,"Azusa, California",0.0,34.1338751,-117.9056046
27,Baldwin Park,City,Los Angeles,75390,6.63,"Baldwin Park, California",0.0,34.0854739,-117.9611761
28,Banning,City,Riverside,29603,23.1,"Banning, California",0.0,33.9255685,-116.875289
29,Barstow,City,San Bernardino,22639,41.38,"Barstow, California",0.0,34.8957684,-117.0172077
30,Beaumont,City,Riverside,36877,30.91,"Beaumont, California",0.0,33.9294606,-116.977248
31,Bell,City,Los Angeles,35477,2.5,"Bell, California",0.0,33.9747806,-118.1866361
32,Bell Gardens,City,Los Angeles,42072,2.46,"Bell Gardens, California",0.0,33.9694561,-118.1503953
33,Bellflower,City,Los Angeles,76616,6.12,"Bellflower, California",0.0,33.8825705,-118.1167679
34,Belmont,City,San Mateo,25835,4.62,"Belmont, California",0.0,37.5202145,-122.2758008
35,Belvedere,City,Marin,2068,0.52,"Belvedere, California",0.0,37.8727044,-122.4644171
36,Benicia,City,Solano,26997,12.93,"Benicia, California",0.0,38.049365,-122.1585777
38,Beverly Hills,City,Los Angeles,34109,5.71,"Beverly Hills, California",0.0,34.0696501,-118.3963062
