Neighborhood,Neighbourhood Number,"Population, 2016",Latitude,Longitude,,
Agincourt South-Malvern West,128,23757,31.342950,-110.958400,,
Bedford Park-Nortown,39,23236,43.187660,-79.533120,,
Beechborough-Greenbrook,112,6577,43.223940,79.771750,,
Birchcliffe-Cliffside,122,22291,45.184180,-64.358980,,
Blake-Jones,69,7727,49.304450,-121.622250,,
Briar Hill-Belgravia,108,14257,43.699482,-79.454643,,
Bridle Path-Sunnybrook-York Mills,41,9266,43.7309783,-79.3788032,,
Brookhaven-Amesbury,30,17757,43.6984901428223,-79.4912796020508,,
Cabbagetown-South St. James Town,71,11669,43.66942,-79.37292,,
Clairlea-Birchmount,120,26984,43.716178894043,-79.2827529907227,,
Dovercourt-Wallace Emerson-Junction,93,36625,43.6654052734375,-79.4385375976563,,
Downsview-Roding-CFB,26,35052,43.7337150573731,-79.4906845092773,,
Eringate-Centennial-West Deane,11,18588,43.6566429138184,-79.584602355957,,
Greenwood-Coxwell,65,14417,43.6740188598633,-79.3244857788086,,
Humbermede,22,15545,43.7402267456055,-79.5397872924805,,
Humewood-Cedarvale,106,14365,43.6901092529297,-79.4276351928711,,
Islington-City Centre West,14,43965,43.6387176513672,-79.5476150512695,,
Kingsview Village-The Westway,6,22000,43.6978988647461,-79.5434799194336,,
Lambton Baby Point,114,7985,43.6537284851074,-79.4944915771484,,
Mimico (includes Humber Bay Shores),17,33964,43.6143417358398,-79.4976654052734,,
Mount Olive-Silverstone-Jamestown,2,32954,43.744873046875,-79.5930633544922,,
Parkwoods-Donalda,45,34805,43.7539558410645,-79.32958984375,,
Playter Estates-Danforth,67,7804,43.6794357299805,-79.3550415039063,,
Princess-Rosethorn,10,11051,43.6684989929199,-79.5470275878906,,
Rockcliffe-Smythe,111,22246,43.6742515563965,-79.4948883056641,,
Thistletown-Beaumond Heights,3,10360,43.7373847961426,-79.5654220581055,,
Waterfront Communities-The Island,77,65913,43.6390266418457,-79.3791198730469,,
West Humber-Clairville,1,33312,43.714282989502,-79.59326171875,,
Westminster-Branson,35,26274,43.7791557312012,-79.4526901245117,,
Weston-Pelham Park,91,11098,43.6686592102051,-79.4584350585938,,
Wexford/Maryvale,119,27917,43.7456321716309,-79.2946472167969,,
Willowridge-Martingrove-Richview,7,22156,43.6834831237793,-79.5544509887695,,
